state_raw,state_cleaned_postal_code
AK,AK
ALASKA,AK
AL,AL
ALABAMA,AL
AR,AR
ARIZONA,AZ
ARKANSAS,AR
AZ,AZ
CA,CA
CALIFORNIA,CA
CO,CO
COLORADO,CO
CONNECTICUT,CT
CT,CT
DC,DC
DE,DE
DELAWARE,DE
"DISTRICT OF COLUMBIA",DC
FL,FL
FLORIDA,FL
GA,GA
GEORGIA,GA
HI,HI
HAWAII,HI
IA,IA
IOWA,IA
ID,ID
IDAHO,ID
IL,IL
ILLINOIS,IL
IN,IN
INDIANA,IN
KS,KS
KANSAS,KS
KY,KY
KENTUCKY,KY
LA,LA
LOUISIANA,LA
MA,MA
"MA, USA",ME
MAINE,ME
MARYLAND,MD
MASSACHUSETTS,MA
MD,MD
ME,ME
MI,MI
MICHIGAN,MI
MN,MN
MINNESOTA,MN
MO,MO
MISSOURI,MO
MS,MS
MISSISSIPPI,MS
MT,MT
NC,NC
NORTH CAROLINA,NC
ND,ND
NORTH DAKOTA,ND
NE,NE
NEBRASKA,NE
NH,NH
NEW HAMPSHIRE,NH
NJ,NJ
"NEW JERSEY",NJ
NM,NM
NEW MEXICO,NM
NV,NV
NEVADA,NV
NY,NY
NEW YORK,NY
"NY/ NIAGARA",NY
OH,OH
OHIO,OH
"OHIO / NEO",OH
OK,OK
OKLAHOMA,OK
OR,OR
OREGON,OR
PA,PA
PENNSYLVANIA,PA
RI,RI
RHODE ISLAND,RI
"SAINT ANDREW",IL
SC,SC
SD,SD
SOUTH DAKOTA,SD
SOUTH CAROLINA,SC
TN,TN
TENNESSEE,TN
TX,TX
TEXAS,TX
TX WEST SOUTH CENTRAL,TX
"TX/HOUSTON",TX
"TEXAS/HOUSTON",TX
UT,UT
UTAH,UT
VA,VA
VIRGINIA,VA
VT,VT
VERMONT,VT
WA,WA
WASHINGTON,WA
WASHINGTON STATE,WA
WV,WV
WEST VIRGINIA,WV
WI,WI
WISCONSIN,WI
WY,WY
WYOMING,WY
