state,election_date,election_code,source,source_note
AK,2024-08-20,Primary,l2,"L2 dominant Primary_ column, 107,467 non-null voters"
AK,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
AK,2026-08-18,Primary,ballotready,BallotReady 'Alaska Primary Election' (63 races)
AK,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
AL,2024-03-05,Primary,l2,"L2 dominant Primary_ column, 758,083 non-null voters"
AL,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
AL,2026-05-19,Primary,ballotready,BallotReady 'Alabama Primary Election' (767 races)
AL,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
AR,2024-03-05,Primary,l2,"L2 dominant Primary_ column, 335,136 non-null voters"
AR,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
AR,2026-03-03,Primary,l2,"L2 dominant Primary_ column, 428,593 non-null voters"
AR,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
AZ,2024-07-30,Primary,l2,"L2 dominant Primary_ column, 1,217,729 non-null voters"
AZ,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
AZ,2026-07-21,Primary,ballotready,BallotReady 'Arizona Primary Election' (435 races)
AZ,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
CA,2024-03-05,Primary,l2,"L2 dominant Primary_ column, 7,296,969 non-null voters"
CA,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
CA,2026-06-02,Primary,ballotready,BallotReady 'California Primary Election' (1481 races)
CA,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
CO,2024-06-25,Primary,l2,"L2 dominant Primary_ column, 937,816 non-null voters"
CO,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
CO,2026-06-30,Primary,ballotready,BallotReady 'Colorado Primary Election' (527 races)
CO,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
CT,2024-08-13,Primary,l2,"L2 dominant Primary_ column, 57,445 non-null voters"
CT,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
CT,2026-08-11,Primary,ballotready,BallotReady 'Connecticut Primary Election' (279 races)
CT,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
DC,2024-06-04,Primary,l2,"L2 dominant Primary_ column, 88,609 non-null voters"
DC,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
DC,2026-06-16,Primary,ballotready,BallotReady 'DC Primary Election' (12 races)
DC,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
DE,2024-09-10,Primary,l2,"L2 dominant Primary_ column, 118,922 non-null voters"
DE,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
DE,2026-09-15,Primary,ballotready,BallotReady 'Delaware Primary Election' (77 races)
DE,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
FL,2024-08-20,Primary,l2,"L2 dominant Primary_ column, 2,839,732 non-null voters"
FL,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
FL,2026-08-18,Primary,ballotready,"BallotReady 'Florida Primary Election' (1,206 races)"
FL,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
GA,2024-05-21,Primary,l2,"L2 dominant Primary_ column, 1,233,153 non-null voters"
GA,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
GA,2026-05-19,Primary,l2,"L2 dominant Primary_ column, 2,003,958 non-null voters"
GA,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
HI,2024-08-10,Primary,l2,"L2 dominant Primary_ column, 259,708 non-null voters"
HI,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
HI,2026-08-08,Primary,ballotready,BallotReady 'Hawaii Primary Election' (97 races)
HI,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
IA,2024-06-04,Primary,l2,"L2 dominant Primary_ column, 175,106 non-null voters"
IA,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
IA,2026-06-02,Primary,ballotready,BallotReady 'Iowa Primary Election' (619 races)
IA,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
ID,2024-05-21,Primary,l2,"L2 dominant Primary_ column, 269,514 non-null voters"
ID,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
ID,2026-05-19,Primary,ballotready,BallotReady 'Idaho Primary Election' (430 races)
ID,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
IL,2024-03-19,Primary,l2,"L2 dominant Primary_ column, 1,444,591 non-null voters"
IL,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
IL,2026-03-17,Primary,ballotready,"BallotReady 'Illinois Primary Election' (1,247 races)"
IL,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
IN,2024-05-07,Primary,l2,"L2 dominant Primary_ column, 776,739 non-null voters"
IN,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
IN,2026-05-05,Primary,ballotready,"BallotReady 'Indiana Primary Election' (2,262 races)"
IN,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
KS,2024-08-06,Primary,l2,"L2 dominant Primary_ column, 318,185 non-null voters"
KS,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
KS,2026-08-04,Primary,ballotready,"BallotReady 'Kansas Primary Election' (1,797 races)"
KS,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
KY,2024-05-21,Primary,l2,"L2 dominant Primary_ column, 427,213 non-null voters"
KY,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
KY,2026-05-19,Primary,ballotready,"BallotReady 'Kentucky Primary Election' (2,572 races)"
KY,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
LA,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
LA,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MA,2024-09-03,Primary,l2,"L2 dominant Primary_ column, 782,007 non-null voters"
MA,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MA,2026-09-01,Primary,ballotready,BallotReady 'Massachusetts Primary Election' (259 races)
MA,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MD,2024-05-14,Primary,l2,"L2 dominant Primary_ column, 964,968 non-null voters"
MD,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MD,2026-06-23,Primary,ballotready,BallotReady 'Maryland Primary Election' (446 races)
MD,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
ME,2024-06-11,Primary,l2,"L2 dominant Primary_ column, 143,586 non-null voters"
ME,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
ME,2026-06-09,Primary,ballotready,BallotReady 'Maine Primary Election' (520 races)
ME,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MI,2024-08-06,Primary,l2,"L2 dominant Primary_ column, 1,923,738 non-null voters"
MI,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MI,2026-08-04,Primary,ballotready,BallotReady 'Michigan Primary Election' (894 races)
MI,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MN,2024-08-13,Primary,l2,"L2 dominant Primary_ column, 521,861 non-null voters"
MN,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MN,2026-08-11,Primary,ballotready,"BallotReady 'Minnesota Primary Election' (2,557 races)"
MN,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MO,2024-08-06,Primary,l2,"L2 dominant Primary_ column, 1,082,689 non-null voters"
MO,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MO,2026-08-04,Primary,ballotready,"BallotReady 'Missouri Primary Election' (1,136 races)"
MO,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MS,2024-03-12,Primary,l2,"L2 dominant Primary_ column, 328,239 non-null voters"
MS,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MS,2026-03-10,Primary,l2,"L2 dominant Primary_ column, 294,901 non-null voters"
MS,2026-11-03,General,computed,computed: Tuesday after first Monday in Nov 2026
MT,2024-06-04,Primary,l2,"L2 dominant Primary_ column, 293,400 non-null voters"
MT,2024-11-05,General,computed,computed: Tuesday after first Monday in Nov 2024
MT,2026-06-02,Primary,ballotready,BallotReady 'Montana Primary Election' (560 races)
