internal_name,label,hubspot_type,hubspot_group,status,column_name,cast_type,sort_order,description
n2026_alt_activation__cas_meeting,2026 alt activation - CAS meeting,bool,2026_alt_activation,generated,n2026_alt_activation__cas_meeting,boolean,1,
n2026_alt_activation__circle_engagement,2026 alt activation - Circle engagement,bool,2026_alt_activation,generated,n2026_alt_activation__circle_engagement,boolean,2,
n2026_alt_activation__content_engagement,2026 alt activation - content engagement,bool,2026_alt_activation,generated,n2026_alt_activation__content_engagement,boolean,3,
n2026_alt_activation__course_completion,2026 alt activation - course completion,bool,2026_alt_activation,generated,n2026_alt_activation__course_completion,boolean,4,
n2026_alt_activation__free_features,2026 alt activation - free features,bool,2026_alt_activation,generated,n2026_alt_activation__free_features,boolean,5,
n2026_alt_activation__pro_features,2026 alt activation - Pro Features,bool,2026_alt_activation,generated,n2026_alt_activation__pro_features,boolean,6,
n2026_alt_activation__webinar_attendance,2026 alt activation - webinar attendance,bool,2026_alt_activation,generated,n2026_alt_activation__webinar_attendance,boolean,7,
n2026_alternative_activation,2026 alternative activation,bool,2026_alt_activation,generated,n2026_alternative_activation,boolean,8,
serve_eo_waitlist,Serve EO Waitlist,enumeration,2026_eo_outreach,generated,serve_eo_waitlist,string,9,
serve_eo_waitlist_date,Serve EO Waitlist Date,date,2026_eo_outreach,generated,serve_eo_waitlist_date,date,10,
activepassive_candidate,Active/Passive Candidate,enumeration,2026_sales_properties,generated,activepassive_candidate,string,11,
candidate_pain_point,Candidate Pain Point,enumeration,2026_sales_properties,generated,candidate_pain_point,string,12,
follow_up_preference,Follow Up Preference,enumeration,2026_sales_properties,generated,follow_up_preference,string,13,
menu_item_offered,Solution Offered,enumeration,2026_sales_properties,generated,menu_item_offered,string,14,
no_offer_made_reason,No Offer Made Reason,string,2026_sales_properties,generated,no_offer_made_reason,string,15,
offer_accepted,Offer Accepted,enumeration,2026_sales_properties,generated,offer_accepted,string,16,
hs_analytics_average_page_views,Average Pageviews,number,analyticsinformation,generated,hs_analytics_average_page_views,double,17,Average number of pageviews per session for this contact. Set automatically.
hs_analytics_first_referrer,First Referring Site,string,analyticsinformation,generated,hs_analytics_first_referrer,string,18,URL that referred the contact to your website. Set automatically.
hs_analytics_first_timestamp,Time First Seen,datetime,analyticsinformation,generated,hs_analytics_first_timestamp,timestamp,19,First time the contact has been seen. Set automatically.
hs_analytics_first_touch_converting_campaign,First Touch Converting Campaign,string,analyticsinformation,generated,hs_analytics_first_touch_converting_campaign,string,20,Campaign responsible for the first touch creation of this contact.
hs_analytics_first_url,First Page Seen,string,analyticsinformation,generated,hs_analytics_first_url,string,21,First page the contact visited on your website. Set automatically.
hs_analytics_first_visit_timestamp,Time of First Session,datetime,analyticsinformation,generated,hs_analytics_first_visit_timestamp,timestamp,22,First time the contact visited your website. Set automatically.
hs_analytics_last_referrer,Last Referring Site,string,analyticsinformation,generated,hs_analytics_last_referrer,string,23,Last URL that referred contact to your website. Set automatically.
hs_analytics_last_timestamp,Time Last Seen,datetime,analyticsinformation,generated,hs_analytics_last_timestamp,timestamp,24,Timestamp for most recent webpage view on your website.
hs_analytics_last_touch_converting_campaign,Last Touch Converting Campaign,string,analyticsinformation,generated,hs_analytics_last_touch_converting_campaign,string,25,Campaign responsible for the last touch creation of this contact.
hs_analytics_last_url,Last Page Seen,string,analyticsinformation,generated,hs_analytics_last_url,string,26,Last page the contact visited on your website. Set automatically.
hs_analytics_last_visit_timestamp,Time of Last Session,datetime,analyticsinformation,generated,hs_analytics_last_visit_timestamp,timestamp,27,Timestamp for start of the most recent session for this contact to your website.
hs_analytics_num_event_completions,Number of event completions,number,analyticsinformation,generated,hs_analytics_num_event_completions,double,28,Total number of events for this contact. Set automatically.
hs_analytics_num_page_views,Number of Pageviews,number,analyticsinformation,generated,hs_analytics_num_page_views,double,29,Total number of page views this contact has had on your website. Set automatically.
hs_analytics_num_visits,Number of Sessions,number,analyticsinformation,generated,hs_analytics_num_visits,double,30,Number of times a contact has come to your website. Set automatically.
hs_analytics_source,Original Traffic Source,enumeration,analyticsinformation,generated,hs_analytics_source,string,31,"First known source the contact used to find your website. Set automatically, but may be updated manually."
hs_analytics_source_data_1,Original Traffic Source Drill-Down 1,string,analyticsinformation,generated,hs_analytics_source_data_1,string,32,Additional information about the source the contact used to find your website. Set automatically.
hs_analytics_source_data_2,Original Traffic Source Drill-Down 2,string,analyticsinformation,generated,hs_analytics_source_data_2,string,33,Additional information about the source the contact used to find your website. Set automatically.
hs_latest_source,Latest Traffic Source,enumeration,analyticsinformation,generated,hs_latest_source,string,34,The source of the latest session for a contact
hs_latest_source_data_1,Latest Traffic Source Drill-Down 1,string,analyticsinformation,generated,hs_latest_source_data_1,string,35,Additional information about the latest source for the last session the contact used to find your website. Set automatically.
hs_latest_source_data_2,Latest Traffic Source Drill-Down 2,string,analyticsinformation,generated,hs_latest_source_data_2,string,36,Additional information about the source for the last session the contact used to find your website. Set automatically.
hs_latest_source_timestamp,Latest Traffic Source Date,datetime,analyticsinformation,generated,hs_latest_source_timestamp,timestamp,37,The time of the latest session for a contact
calls_made,Calls Made,number,contact_activity,generated,calls_made,double,38,
last_call_date,Last Call Date,date,contact_activity,existing,last_call_at,,39,
last_call_outcome,Last Call Outcome,enumeration,contact_activity,existing,last_call_outcome,,40,
notes_last_contacted,Last Contacted,datetime,contact_activity,existing,last_contacted_at,,41,"The last time a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record."
notes_last_updated,Last Activity Date,datetime,contact_activity,generated,notes_last_updated,timestamp,42,"The last time a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record."
notes_next_activity_date,Next Activity Date,datetime,contact_activity,generated,notes_next_activity_date,timestamp,43,The date of the next upcoming activity for a contact. This is set automatically by HubSpot based on user actions in the contact record.
num_contacted_notes,Number of times contacted,number,contact_activity,generated,num_contacted_notes,double,44,"The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record."
num_notes,Number of Sales Activities,number,contact_activity,generated,num_notes,double,45,"The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record."
open_lead,Open Lead,enumeration,contact_activity,generated,open_lead,string,46,
ana_health,ANA Health,enumeration,contactinformation,generated,ana_health,string,47,
br_candidacy_id,br_candidacy_id,string,contactinformation,existing,br_candidacy_id,,48,
br_person_id,BR Person ID,string,contactinformation,generated,br_person_id,string,49,
br_position_id,br_position_id,string,contactinformation,existing,br_position_id,,50,
br_race_id,br_race_id,string,contactinformation,existing,br_race_id,,51,
candidate_date_verified,Candidate Date Verified,date,contactinformation,generated,candidate_date_verified,date,52,When a candidate became confirmed - stamped over from company-level property 'date_verified'
candidate_district,Candidate District,string,contactinformation,existing,candidate_district,,53,
candidate_experience_level,Candidate Experience Level,string,contactinformation,generated,candidate_experience_level,string,54,
candidate_id_source,Candidate ID Source,enumeration,contactinformation,existing,candidate_id_source,,55,
candidate_id_tier,Candidate ID Tier,enumeration,contactinformation,existing,candidate_id_tier,,56,
candidate_interest,Candidate Interest,enumeration,contactinformation,generated,candidate_interest,string,57,
candidate_office,Candidate Office,string,contactinformation,existing,candidate_office,,58,Office for which the candidate is running
candidate_profile_url,Candidate Profile URL,string,contactinformation,generated,candidate_profile_url,string,59,
candidate_seat,Candidate Seat,string,contactinformation,generated,candidate_seat,string,60,
candidate_state,Candidate State,string,contactinformation,generated,candidate_state,string,61,State in which the candidate is running
candidate_type,Candidate Type,enumeration,contactinformation,existing,candidate_type,,62,
channel_group__first_conversion_source,Channel Group - First Conversion Source,enumeration,contactinformation,generated,channel_group__first_conversion_source,string,63,
circle_attributed_pledge,Circle attributed pledge,enumeration,contactinformation,generated,circle_attributed_pledge,string,64,Indicates whether this contact's pledge is attributed to Circle. Options are Yes or No.
circle_comments,Circle Comments,number,contactinformation,generated,circle_comments,double,65,
circle_invite_link,circle invite link,string,contactinformation,generated,circle_invite_link,string,66,
circle_join_date,Circle Join Date,date,contactinformation,generated,circle_join_date,date,67,The date a candidate joined Circle
circle_leaderboard_level,Circle Leaderboard Level,enumeration,contactinformation,generated,circle_leaderboard_level,string,68,Shows the level attained on the Circle leaderboard
circle_level_2_code,Circle Level 2 Code,string,contactinformation,generated,circle_level_2_code,string,69,The unique Stripe code for this user's Circle Level 2 rewards
circle_level_5_code,Circle Level 5 Code,string,contactinformation,generated,circle_level_5_code,string,70,The unique Stripe code for this user's Circle Level 5 rewards
circle_level_8_code,Circle Level 8 Code,string,contactinformation,generated,circle_level_8_code,string,71,The unique Stripe code for this user's Circle Level 8 rewards
circle_live_events_attended,Circle Live Events Attended,number,contactinformation,generated,circle_live_events_attended,double,72,
circle_member,Circle Member,enumeration,contactinformation,generated,circle_member,string,73,
