name,branch,category,serve_eligible,win_effective_date
U.S. Senator,legislative,federal,true,
U.S. Representative,legislative,federal,true,
Delegate to the U.S. House,legislative,federal,true,
State Representative,legislative,state,true,
State Senator,legislative,state,true,
State Governor's Council,legislative,state,true,
County Legislature//Executive Board,legislative,county,true,
County Legislative Chair (non-executive),legislative,county,true,
County Legislature/Surveyor (Joint),legislative,county,true,
County Legislative Fiscal Authority Board,legislative,county,true,
County Legislative Review Board,legislative,county,true,
County Legislature/Township Supervisor (Joint)//Executive Board/Township Supervisor (Joint),legislative,county,true,
City Legislature,legislative,city,true,
City Legislature Chair//President of Council,legislative,city,true,
City Board of Selectmen,legislative,city,true,
City Board of Finance,legislative,city,true,
City Ward Moderator,legislative,city,true,
Town Meeting Board,legislative,town,true,
Town Moderator,legislative,town,true,
Town Assistant Moderator,legislative,town,true,
Township Trustee//Township Council,legislative,township,true,
Metro Council Member,legislative,metro,true,
Metro Council President,legislative,metro,true,
Council of Governments,legislative,regional,true,
President of the United States of America,executive,chief_executive,true,
Vice President of the United States of America,executive,chief_executive,true,
Governor,executive,chief_executive,true,
Lieutenant Governor,executive,chief_executive,true,
County Executive Head,executive,chief_executive,true,
County Executive Head/County Judge (Joint),executive,chief_executive,true,
County Vice Mayor,executive,chief_executive,true,
City Executive//Mayor,executive,chief_executive,true,
City Vice-Mayor//Mayor Pro Tem,executive,chief_executive,true,
City Manager//First Selectmen,executive,chief_executive,true,
NYC Borough President,executive,chief_executive,true,
Township Supervisor,executive,chief_executive,true,
Township Mayor,executive,chief_executive,true,
Township Executive,executive,chief_executive,true,
Township Board Head,executive,chief_executive,true,
Island Manager,executive,chief_executive,true,
Secretary of State,executive,state_officer,true,
State Attorney General,executive,state_officer,true,
State Auditor,executive,state_officer,true,
State Treasurer,executive,state_officer,true,
State Comptroller//Controller,executive,state_officer,true,
State Agriculture Secretary,executive,state_officer,true,
State Agriculture Secretary/Consumer Services Secretary (Joint),executive,state_officer,true,
State Agriculture and Industries Commissioner,executive,state_officer,true,
State Insurance Commissioner,executive,state_officer,true,
State Insurance Commissioner/Fire Safety Commissioner (Joint),executive,state_officer,true,
State Commissioner of Insurance/Commissioner of Securities (Joint),executive,state_officer,true,
State Labor Commissioner,executive,state_officer,true,
State Corporation Commissioner,executive,state_officer,true,
State Tax Commissioner//Board of Equalization,executive,state_officer,true,
State Mine Inspector,executive,state_officer,true,
State Superintendent of Schools,executive,state_officer,true,
State Commissioner of Public Lands,executive,state_officer,true,
State Commissioner of School/Commissioner of Public Lands (Joint),executive,state_officer,true,
State Utilities Board//Public Services Board//Public Regulation Board//Railroad(TX) Board,executive,state_officer,true,
County Sheriff,executive,county_officer,true,
County Attorney,executive,county_officer,true,
County Solicitor General,executive,county_officer,true,
County Constable,executive,county_officer,true,
County (High) Bailiff,executive,county_officer,true,
County Marshal,executive,county_officer,true,
County Public Defender,executive,county_officer,true,
County Assessor//Property Appraiser,executive,county_officer,true,
County Auditor,executive,county_officer,true,
County Clerk,executive,county_officer,true,
County Treasurer//Finance Officer,executive,county_officer,true,
County Controller//Comptroller,executive,county_officer,true,
County (Tax) Collector,executive,county_officer,true,
County Commissioner of Revenue,executive,county_officer,true,
County Tax Commissioner,executive,county_officer,true,
County Recorder//Register of Deeds//Register of Mesne Conveyance,executive,county_officer,true,
County Register of Wills,executive,county_officer,true,
County Surveyor,executive,county_officer,true,
County Probate Administrator//Register of Probate//Public Administrator,executive,county_officer,true,
County Prothonotary//Court of Common Pleas Clerk,executive,county_officer,true,
County Coroner//Medical Examiner,executive,county_officer,true,
County Jailer,executive,county_officer,true,
County Mine Inspector,executive,county_officer,true,
County Justice of the Peace (Non-Judicial),executive,county_officer,true,
County Drain Commissioner,executive,county_officer,true,
County Engineer,executive,county_officer,true,
County Highway Commissioner,executive,county_officer,true,
County Road Clerk,executive,county_officer,true,
County Road Commission Head,executive,county_officer,true,
County Road Commissioner,executive,county_officer,true,
County Land Commissioner,executive,county_officer,true,
County License Commissioner//License Director,executive,county_officer,true,
County Director of Elections,executive,county_officer,true,
County Superintendent of Schools,executive,county_officer,true,
County Court Clerk,executive,county_court_clerk,true,
County Criminal Court Clerk,executive,county_court_clerk,true,
County Juvenile Court Clerk,executive,county_court_clerk,true,
