gp_election_id,br_position_database_id,election_date,reason,contest_office,br_position_name
a5a16657-58fe-2f7a-4485-eb8bb499ac77,47891,2025-11-04,office_mismatch,Mississippi House of Representatives - District 26,State Senator
b900bbd8-3b20-88ab-45b1-27dbf00d3914,64258,2025-11-04,office_mismatch,Knox County: Wayne Township Trustee,Local School Board
07c8bafb-eccc-6fe6-f4e3-bfd88f4f2cf8,65714,2025-11-04,office_mismatch,Clark County Educational Service Center Board,Local School Board
77032957-882a-fdfb-938b-443a33a8601f,69385,2025-11-04,office_mismatch,Bainbridge Island Fire Department Board - Position 5,Local School Board
12e71137-76e6-6d50-69e9-6e1ae772e597,77388,2025-11-04,office_mismatch,Hays City Commission,Local School Board
a5c8614e-9db1-5fb6-c23c-6e84d8f63d59,77427,2025-11-04,office_mismatch,Holcomb City Council,Local School Board
0bc7853e-74b6-7cb5-52dd-e086782899e2,83436,2025-04-01,office_mismatch,Skokie Village Trustee District 4,Local School Board
a9390490-1ec8-3487-76bd-cab42a023f15,91087,2025-10-07,office_mismatch,Ketchikan Gateway Borough Assembly Member,Local School Board
aa9c09bf-4351-1823-6813-e9cf0d4fd493,124203,2025-11-04,office_mismatch,Belmond City Council,Local School Board
127beaf6-46fc-6517-e529-0c974b86f467,124449,2025-11-04,office_mismatch,Oskaloosa City Council - At Large,Local School Board
f72cd51a-2a45-72a9-1e3c-5f81184c9849,125203,2025-11-04,office_mismatch,Moravia City Mayor,Local School Board
cf6abfff-d0e4-7deb-12df-04e3c2211f85,138056,2025-05-03,office_mismatch,Hillsboro City Council - Place 5,Local School Board
9ce595c0-f27a-ea0e-e8f1-b75e2357e657,166515,2025-05-20,office_mismatch,Lane Community College Board - Zone 7 (At Large),Local School Board
a540e0a6-ebfb-afe4-8dfe-334f65a0f32b,166901,2025-05-20,office_mismatch,Intermountain Education Service District - Zone 5,Local School Board
d88450a4-e2f8-bd68-1ac8-8dc6d28da748,176171,2025-11-04,office_mismatch,Methuen City Council - At Large,Local School Board
c04781f2-0230-7ca8-f9f4-2f53c34e7ca5,183071,2025-04-08,office_mismatch,Spanish Lake Fire District Director,Local School Board
7a676bd9-6fc7-1e0f-e24a-d2ee60e4f9ae,183089,2025-04-08,office_mismatch,Ladue City Council - Ward 2,Local School Board
a66ba06c-5806-af37-0a29-3974acfca1a9,206030,2025-03-11,office_mismatch,Exeter Town Select Board,City Election Board//Election Commission
eab82189-7c28-bfb5-3c4a-68f8ea727086,206030,2025-03-11,office_mismatch,Newfields Town Select Board,City Election Board//Election Commission
265aced5-8a7a-9d5d-3f8a-f1200140530a,206189,2025-11-04,office_mismatch,Dover City Select Board - Ward 6,City Election Board//Election Commission
c9ce3b06-6ab3-56b7-3e59-4da6011209c1,206189,2025-11-04,office_mismatch,Dover City Select Board - Ward 1,City Election Board//Election Commission
d27889b0-3f19-0a4d-1ecc-3084e40af8c5,206236,2025-11-04,office_mismatch,"Rochester City Council - Ward 5, Seat A",Town Moderator
f27182be-13d5-8b50-4d97-e161524ba804,207089,2025-11-04,office_mismatch,King William County Member School Board At Large,County Legislature//Executive Board
ae662f61-70e5-f84d-002f-b03ed7ac3fb6,228304,2025-05-03,office_mismatch,Southwest Independent School Board,City Executive//Mayor
5f6ed961-a02a-fff7-1c37-81dfda3e9af9,229669,2025-04-08,office_mismatch,Needham Town Meeting Members - Precinct F,City Legislature
f2e736d8-3ae0-773e-145b-9dcefa62ac6b,229669,2025-04-08,office_mismatch,Needham Town Meeting Members - Precinct B,City Legislature
2c4b81f1-ea77-64fc-509c-2d195a218d93,233868,2025-11-04,office_mismatch,Pflugerville City Council - Place 1,City Executive//Mayor
19a04f6e-a7e6-5108-5e49-00567b53e7bd,241669,2025-11-04,office_mismatch,Siler City Town Commissioner - District 1,City Executive//Mayor
fe0a445b-dd04-f10c-939c-2d0cc5a9c87f,246041,2025-11-04,office_mismatch,"Sunnyside School Director District No. 4 Director, District 4",Harbor District Board//Port District Board
dd563c46-7750-d11f-b94e-699c09ed98e9,260276,2025-04-01,office_mismatch,Wisconsin Superintendent Of Public Instruction,City Legislature
94699c12-a11a-5c5f-d071-aa4b0affb3da,261489,2025-04-01,office_mismatch,Dane County: Bristol Town Chair,City Legislature
cc65dd9b-3dc6-0284-0619-52e66674f0b9,262472,2025-04-01,office_mismatch,Portage County Board Of Supervisors - District 16,City Legislature
03190928-f71a-e701-3c6d-6983a28dba4d,269351,2025-04-01,office_mismatch,Arlington Heights 25 School Board,Library District Board
199a8e00-b2c0-7044-cbfb-2951128b2035,270424,2025-11-04,office_mismatch,Matanuska-Susitna Borough School Board - District 2,County Legislature//Executive Board
c730fb78-b48f-ca97-d3ff-637326657999,281610,2025-08-26,office_mismatch,Hartselle School Board Place Five,City Legislature
951f7343-2bff-0eba-7274-17f3f9e5974a,329065,2025-05-03,office_mismatch,Police Juror District 1C,City Police Chief//Marshal
f24b93ef-bcaa-4342-7668-fecf07765026,329065,2025-05-03,office_mismatch,Police Juror District 4,City Police Chief//Marshal
eefe3cb8-0765-c281-98e9-b4294581ffb8,330706,2025-11-04,office_mismatch,School Board,County Legislature//Executive Board
7d1c3636-a8c8-f69a-b287-bd63e3bed7a5,330766,2025-11-04,office_mismatch,Stafford County School Board - Garrisonville,County Legislature//Executive Board
36e0b55a-258b-765f-946f-b9899e17056a,330775,2025-11-04,office_mismatch,Wise County School Board - District 3,County Legislature//Executive Board
2be434d3-1170-1bec-6ba4-907daed6ef11,331440,2025-03-04,office_mismatch,Tuscaloosa City School Board - District 6,City Legislature
6a1cca5c-c1de-bcf5-0028-478dafb085e5,332077,2025-11-04,office_mismatch,Ashley Valley Water & Sewer Trustee,City Legislature
5b9ad90b-c244-633b-4307-0a20d76972a6,332453,2025-11-04,office_mismatch,School Board,City Legislature
35256290-26e3-05ae-e8dc-754cfd99f24f,332696,2025-11-04,office_mismatch,Roseville City Clerk,City Treasurer//Finance Officer
442be46d-417e-b15d-d6a6-80fe655d0098,332858,2025-11-04,office_mismatch,Mayor,City Legislature
e54d631a-a7e5-21ac-58aa-1db33976b480,332883,2025-11-04,office_mismatch,Coeur d'Alene City Council - Seat 4,City Executive//Mayor
88854e6b-cd50-112d-fef8-efd2de8aaa6b,333001,2025-11-04,office_mismatch,City Council,City Executive//Mayor
5e978466-8e3b-4246-2b26-6e661e6b2ab6,333371,2025-11-04,office_mismatch,Richmond County School Board,City Legislature
a4137ee0-2983-d598-3776-b9396058e8aa,333593,2025-11-04,office_mismatch,Edgecombe County School Board - District 7,City Legislature
